"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","meanscore","highrisks","interval","c1","c2","c3","Score"
"4480","STARBUCKS COFFEE 545","H28",37.751413,-122.431629,5,2,1,8,0.4,98,0,259,0,0,0,4
"4481","Bi Rite Market","H28",37.761483,-122.424688,5,3,2,10,0.6,96,0,216,0,0,0,4
"4483","NOE BAGEL","H28",37.751493,-122.430439,4,0,0,4,0,96,0,226,0,0,0,4
"4487","NEW WORLD MARKET","H28",37.780234,-122.479989,6,5,4,15,0.83,81,0.83,181,1,0,0,3
"4492","Mollie Stones Grand Central Market Mezzanine Level","H25",37.788773,-122.434697,8,5,1,14,0.62,95,0.38,140,0,0,0,4
"4495","Golden Gate Meat Co","H28",37.795225,-122.39377,3,1,0,4,0.33,97,0,314,0,0,0,4
"4502","LA LOMA PRODUCE 7","H28",37.727739,-122.403579,6,4,1,11,0.67,83,0.8,160,1,0,0,3
"4505","VARIETY CONVENIENCE STORE","H28",37.774693,-122.419929,3,2,0,5,0.67,95,0,251,0,0,0,4
"4509","AFC SUSHI  SAFEWAY 1507","H28",37.768743,-122.427549,4,2,0,6,0.5,96,0.25,245,0,0,0,4
"4511","GARAGE CAFE","H28",37.771448,-122.413519,4,1,1,6,0.25,85,0,232,1,0,0,3
"4512","BRANNAN STREET CAFE","H28",37.782334,-122.391479,3,0,0,3,0,99,0,340,0,0,0,4
"4519","HSS 121 CAFE","H28",37.720851,-122.477084,6,0,0,6,0,98,0,186,0,0,0,4
"4530","MOSCONE CENTER  MAIN KITCHEN","H28",37.784128,-122.401533,7,1,0,8,0.14,98,0,140,0,0,0,4
"4531","AK SUBS","H28",37.773884,-122.408631,3,1,1,5,0.33,87,0.33,403,0,0,0,4
"4532","SHIKI","H28",37.784504,-122.399762,3,0,0,3,0,94,0.33,304,0,0,0,4
"4533","Gourmet Delight","H28",37.795594,-122.408204,4,5,2,11,1.25,72,1,317,1,0,1,2
"4534","Jamba Juice Co","H28",37.789465,-122.403706,5,0,0,5,0,96,0,242,0,0,0,4
"4535","GUARDINOS SOUVENIR  GIFT SHOP","H28",37.795202,-122.413169,3,1,0,4,0.33,90,0.67,226,0,0,0,4
"4538","LUCCA FOOD  WINE SHOP","H28",37.763457,-122.478198,7,0,0,7,0,98,0,155,0,0,0,4
"4539","PEETS COFFEE  TEA","H28",37.740283,-122.466459,4,0,0,4,0,95,0,226,0,0,0,4
"4542","Shaws San Francisco","H28",37.739565,-122.467317,4,2,0,6,0.5,90,0,233,0,0,0,4
"4544","GENES LIQUOR","H28",37.742403,-122.48979,5,1,0,6,0.2,91,0.2,194,0,0,0,4
"4545","7Eleven Food Store","H28",37.7262,-122.464552,6,0,0,6,0,99,0,179,0,0,0,4
"4546","LONDON MARKET  DELI","H28",37.788924,-122.440667,3,1,0,4,0.33,93,0,300,0,0,0,4
"4548","Starbucks Coffee","H28",37.807048,-122.417704,4,0,0,4,0,96,0,274,0,0,0,4
"4553","RUTILYS MARKET","H28",37.799078,-122.427634,5,2,0,7,0.4,91,0.75,184,0,0,0,4
"4555","UNITED LIQUORS  DELI","H28",37.799934,-122.442977,5,1,0,6,0.2,94,0,205,0,0,0,4
"4558","KINGS BAKERY","H28",37.751356,-122.418414,6,8,1,15,1.33,86,1,173,0,0,1,3
"4573","SUBWAY SANDWICHES 5285","H28",37.792577,-122.393992,3,0,0,3,0,97,0,250,0,0,0,4
"4584","KERY MARKET","H28",37.735714,-122.416775,6,0,0,6,0,97,0,163,0,0,0,4
"4586","THE CAKE HOUSE","H28",37.716039,-122.441289,4,0,0,4,0,95,0,245,0,0,0,4
"4588","PICCOLO PETES","H28",37.712686,-122.400903,2,2,0,4,1,65,1,550,1,0,0,3
"4590","TAQUERIA CANCUN  RESTAURANT","H28",37.78215,-122.410305,4,1,2,7,0.25,77,2,263,1,1,0,2
"4592","EZ STOP MARKET","H28",37.708356,-122.419989,4,2,0,6,0.5,95,0,241,0,0,0,4
"4593","Biscoff Coffee Corner","H28",37.80824,-122.410189,4,1,0,5,0.25,96,0,264,0,0,0,4
"4598","RINCON MARKET","H28",37.791424,-122.392468,3,1,0,4,0.33,85,1.67,332,1,1,0,2
"4607","New Golden Daisy","H28",37.795594,-122.408204,4,5,1,10,1.25,78,1.75,303,1,1,1,1
"4608","Gourmet Kitchen","H28",37.795594,-122.408204,3,4,1,8,1.33,66,2.67,390,1,1,1,1
"4610","Liquor  Deli On Union Square","H28",37.790034,-122.407104,7,3,0,10,0.43,88,0.33,153,0,0,0,4
"4614","Sun Sang Market","H28",37.796973,-122.408504,3,3,0,6,1,70,1.67,422,1,1,0,2
"4620","WELCOME SUPER MARKET","H28",37.776057,-122.408682,4,2,0,6,0.5,92,0,320,0,0,0,4
"4621","Louies Dim Sum","H28",37.797256,-122.408456,6,13,0,19,2.17,74,1.33,167,1,1,1,1
"4622","Hing Lung Company","H28",37.797465,-122.408605,3,4,0,7,1.33,78,1.67,375,1,1,1,1
"4623","Yo Yos","H28",37.797668,-122.401134,3,2,0,5,0.67,94,0.33,390,0,0,0,4
"4627","Guerra Quality Meats","H28",37.743278,-122.471171,5,0,2,7,0,94,0.2,226,0,0,0,4
"4628","Great Highway Market","H28",37.741714,-122.505229,5,1,0,6,0.2,96,0.2,215,0,0,0,4
"4630","Zanzes Cheesecake","H28",37.730139,-122.469855,5,0,0,5,0,100,0,203,0,0,0,4
"4634","Lombard Heights Market","H28",37.803103,-122.409744,3,0,0,3,0,99,0,302,0,0,0,4
"4636","STARBUCKS COFFEE","H28",37.728497,-122.475639,6,0,0,6,0,99,0,178,0,0,0,4
"4637","NOAHS NEW YORK BAGELS 2937","H28",37.740587,-122.466153,4,1,0,5,0.25,88,0.25,231,0,0,0,4
"4638","Sunset Bakery","H28",37.758941,-122.48591,3,2,0,5,0.67,82,1,225,1,0,0,3
"4642","Village Market","H28",37.784713,-122.466527,3,1,0,4,0.33,90,0.33,356,0,0,0,4
"4643","CHEUNG HING CHINESE DELI  MEAT INC","H28",37.782993,-122.462709,4,4,3,11,1,83,1.25,285,1,1,0,2
"4654","House of Bagels","H28",37.780688,-122.473471,3,0,6,9,0,90,0.33,273,0,0,0,4
"4656","STARBUCKS COFFEE CO","H28",37.784247,-122.403989,5,0,0,5,0,92,0,234,0,0,0,4
"4661","HAPPY DONUT","H28",37.775975,-122.418129,5,0,0,5,0,85,0.2,188,1,0,0,3
"4665","7ELEVEN 20473","H28",37.742448,-122.490032,5,0,0,5,0,94,0.2,192,0,0,0,4
"4667","EMPIRE THEATRE","H28",37.739883,-122.466749,4,0,0,4,0,98,0,236,0,0,0,4
"4668","GOLDEN BEAR MARKET","H28",37.758941,-122.48591,3,1,0,4,0.33,86,1,250,0,0,0,4
"4669","7ELEVEN","H28",37.760673,-122.505926,6,4,0,10,0.67,95,0,202,0,0,0,4
"4671","MARCO POLO ITALIAN ICE CREAM","H28",37.742728,-122.481566,6,0,0,6,0,99,0,199,0,0,0,4
"4672","IRVING SEAFOOD MARKET","H28",37.763428,-122.480921,5,1,0,6,0.2,86,0.6,194,0,0,0,4
"4678","ANDREBOUDIN BAKERIES","H28",37.781139,-122.468635,4,0,1,5,0,94,0,272,0,0,0,4
"4681","SUBWAY","H28",37.753638,-122.490712,6,1,0,7,0.17,98,0.17,185,0,0,0,4
"4683","JAVA ON OCEAN","H28",37.724778,-122.460205,6,2,3,11,0.33,92,0,187,0,0,0,4
"4685","NORMANS LIQUOR  DELI","H28",37.714204,-122.469193,5,0,0,5,0,95,0,205,0,0,0,4
"4686","RICE GARDEN","H28",37.733944,-122.490438,5,0,1,6,0,90,0.8,196,0,0,0,4
"4687","MAN HING MARKET","H28",37.758941,-122.48591,4,4,0,8,1,84,0.25,253,1,0,0,3
"4688","Mrs Fields Cookies","H28",37.728497,-122.475639,6,0,0,6,0,99,0,178,0,0,0,4
"4693","HONEY BAKED","H28",37.783439,-122.439341,5,1,0,6,0.2,98,0.2,185,0,0,0,4
"4694","CONVENIENCE DELI  GROCERY","H28",37.782294,-122.427485,6,0,0,6,0,96,0,143,0,0,0,4
"4702","SHUFAT MARKET","H28",37.751664,-122.427688,4,0,0,4,0,98,0,258,0,0,0,4
"4703","LA CANASTA TAKEOUT","H28",37.797667,-122.432196,4,3,0,7,0.75,90,0,269,0,0,0,4
"4705","GINOS GROCERY COMPANY","H28",37.792598,-122.434537,4,0,0,4,0,91,0,226,0,0,0,4
"4713","JOCELINS BAKERY","H28",37.758578,-122.420372,5,4,0,9,0.8,87,0.8,173,0,0,0,4
"4716","MICHAELIS WINE  SPIRITS","H28",37.797138,-122.435334,6,1,0,7,0.17,89,0.2,171,0,0,0,4
"4718","MAY FLOWER MKT","H28",37.792455,-122.434474,5,1,0,6,0.2,89,0.25,178,0,0,0,4
"4729","Paradise Coffee  Donut","H28",37.785846,-122.412207,5,3,0,8,0.6,91,0.5,180,0,0,0,4
"4732","BREAD  BUTTER MARKET","H28",37.785068,-122.418983,8,0,0,8,0,91,0.14,137,0,0,0,4
"4734","LUCCA DELICATESSEN","H28",37.800568,-122.438354,4,2,1,7,0.5,90,0.5,243,0,0,0,4
"4739","LEES DELI","H28",37.790697,-122.399563,2,0,1,3,0,92,0.5,407,0,0,0,4
"4746","LEES DELI","H28",37.791588,-122.39292,3,0,1,4,0,94,0.33,366,0,0,0,4
"4753","Tans Cafe III","H28",37.805286,-122.408075,3,1,0,4,0.33,92,0.33,259,0,0,0,4
"4754","New Russian Hill Market","H28",37.795951,-122.414986,4,0,0,4,0,93,0,245,0,0,0,4
"4755","Aunt Fannys Hot Pretzels","H28",37.802479,-122.411234,4,1,0,5,0.25,95,0.25,278,0,0,0,4
"4762","Chowder Hut","H28",37.808616,-122.415779,3,2,1,6,0.67,89,0.67,258,0,0,0,4
"4770","SUSIES CAFE","H28",37.772894,-122.402972,3,0,0,3,0,98,0,360,0,0,0,4
"4774","BAYSIDE MARKET","H28",37.78416,-122.389239,4,1,1,6,0.25,91,0.25,253,0,0,0,4
"4777","SOUTH BEACH CAFE","H28",37.781556,-122.388484,4,0,0,4,0,94,0,253,0,0,0,4
"4780","BRAINWASH CAFE","H28",37.776254,-122.408529,4,1,0,5,0.25,89,0,296,0,0,0,4
"4782","CANTON DIM SUM HOUSE","H25",37.784557,-122.397932,4,0,0,4,0,87,0.25,280,0,0,0,4
"4787","TONY BALONEYS","H28",37.778033,-122.40943,4,0,0,4,0,83,1.25,263,1,1,0,2
"4791","SOUTH PARK CAFE","H28",37.781564,-122.394369,3,3,0,6,1,87,0.67,272,0,0,0,4
"4794","VICTORS","H28",37.778634,-122.393089,4,0,0,4,0,91,0.25,274,0,0,0,4
"4797","Good Life Grocery The","H28",37.739053,-122.416683,3,3,1,7,1,93,0.67,333,0,0,0,4
"4798","M  M SHORTSTOP","H28",37.708427,-122.420353,4,5,0,9,1.25,84,0.5,241,1,0,1,2
"4800","NEW COLLEGE HILL MARKET","H28",37.736021,-122.424503,5,0,0,5,0,100,0,194,0,0,0,4
"4804","SUBWAY 31419","H26",37.728933,-122.40413,5,3,0,8,0.6,94,0.2,218,0,0,0,4
"4806","WHITE PALACE LIQUOR  DELI","H28",37.732344,-122.405852,5,1,0,6,0.2,98,0,190,0,0,0,4
"4819","Starbucks Coffee","H28",37.791742,-122.398373,4,0,0,4,0,98,0,287,0,0,0,4
"4824","THE GAP CAFE","H28",37.789177,-122.388962,4,0,0,4,0,100,0,240,0,0,0,4
"4828","SAY CHEESE","H28",37.766017,-122.449976,3,2,0,5,0.67,83,0,322,1,0,0,3
"4841","STARBUCKS COFFEE 9215","H28",37.764027,-122.456159,3,0,0,3,0,96,0,292,0,0,0,4
"4842","GEORGES ZOO","H28",37.735488,-122.501599,4,0,1,5,0,93,0,254,0,0,0,4
"4846","NORTH BEACH PIZZA","H28",37.742048,-122.499002,6,1,0,7,0.17,91,0.33,181,0,0,0,4
"4849","FAMILY MARKET","H28",37.713219,-122.458851,5,0,0,5,0,95,0,218,0,0,0,4
"4850","COOL GUYS","H28",37.721794,-122.461991,7,0,0,7,0,96,0,169,0,0,0,4
"4859","7ELEVEN STORE 223023342E","H28",37.709683,-122.457571,4,2,0,6,0.5,95,0.25,246,0,0,0,4
"4860","PLAY FIELD CAFE","H28",37.73017,-122.502535,3,0,0,3,0,91,0,360,0,0,0,4
"4864","DRAGON CITY BAKERY  CAFE","H28",37.759174,-122.419066,5,4,1,10,0.8,92,0.6,183,0,0,0,4
"4874","JUMP START COFFEE  GROCERY","H28",37.752118,-122.422914,5,1,0,6,0.2,96,0,222,0,0,0,4
"4884","LUCCA RAVIOLI CO","H28",37.755177,-122.420995,4,5,1,10,1.25,91,1,256,0,0,1,3
"4892","NIMERS MARKET","H28",37.776174,-122.443297,2,0,0,2,0,100,0,385,0,0,0,4
